Epoch 0. Train Loss: 0.603129, Train Acc: 0.689516, Valid Loss: 0.156855, Valid Acc: 0.932639, Time 00:00:08
Epoch 0. Train Loss: 0.515059, Train Acc: 0.758065, Valid Loss: 0.290666, Valid Acc: 0.893750, Time 00:00:07
Epoch 0. Train Loss: 0.495039, Train Acc: 0.758065, Valid Loss: 0.239523, Valid Acc: 0.912500, Time 00:00:07
Epoch 0. Train Loss: 0.551621, Train Acc: 0.689516, Valid Loss: 0.283779, Valid Acc: 0.863889, Time 00:00:07
Epoch 0. Train Loss: 0.637001, Train Acc: 0.713710, Valid Loss: 0.284664, Valid Acc: 0.881250, Time 00:00:07
Epoch 0. Train Loss: 0.595956, Train Acc: 0.673387, Valid Loss: 1.084160, Valid Acc: 0.515972, Time 00:00:07
Epoch 1. Train Loss: 0.360351, Train Acc: 0.842742, Valid Loss: 0.306512, Valid Acc: 0.868750, Time 00:00:08
Epoch 2. Train Loss: 0.308895, Train Acc: 0.870968, Valid Loss: 0.208403, Valid Acc: 0.931250, Time 00:00:08
Epoch 3. Train Loss: 0.339023, Train Acc: 0.870968, Valid Loss: 0.200181, Valid Acc: 0.937500, Time 00:00:08
Epoch 0. Train Loss: 0.560068, Train Acc: 0.701613, Valid Loss: 0.132865, Valid Acc: 0.957639, Time 00:00:07
Epoch 1. Train Loss: 0.279001, Train Acc: 0.887097, Valid Loss: 0.227233, Valid Acc: 0.932639, Time 00:00:08
Epoch 2. Train Loss: 0.395948, Train Acc: 0.830645, Valid Loss: 0.573645, Valid Acc: 0.781250, Time 00:00:08
Epoch 3. Train Loss: 0.264062, Train Acc: 0.903226, Valid Loss: 0.156944, Valid Acc: 0.938889, Time 00:00:08
Epoch 4. Train Loss: 0.232358, Train Acc: 0.923387, Valid Loss: 0.291378, Valid Acc: 0.896528, Time 00:00:08
Epoch 5. Train Loss: 0.172430, Train Acc: 0.919355, Valid Loss: 0.233511, Valid Acc: 0.932639, Time 00:00:08
Epoch 6. Train Loss: 0.139998, Train Acc: 0.935484, Valid Loss: 0.242489, Valid Acc: 0.920139, Time 00:00:08
Epoch 7. Train Loss: 0.082072, Train Acc: 0.971774, Valid Loss: 0.181032, Valid Acc: 0.932639, Time 00:00:08
Epoch 8. Train Loss: 0.129285, Train Acc: 0.959677, Valid Loss: 0.192616, Valid Acc: 0.932639, Time 00:00:08
Epoch 9. Train Loss: 0.143040, Train Acc: 0.939516, Valid Loss: 0.194318, Valid Acc: 0.932639, Time 00:00:08
Epoch 10. Train Loss: 0.151339, Train Acc: 0.947581, Valid Loss: 0.226411, Valid Acc: 0.938889, Time 00:00:08
Epoch 11. Train Loss: 0.334765, Train Acc: 0.883065, Valid Loss: 0.601247, Valid Acc: 0.821528, Time 00:00:08
Epoch 12. Train Loss: 0.113378, Train Acc: 0.963710, Valid Loss: 0.287138, Valid Acc: 0.920139, Time 00:00:08
Epoch 13. Train Loss: 0.122034, Train Acc: 0.947581, Valid Loss: 0.428790, Valid Acc: 0.888889, Time 00:00:08
Epoch 14. Train Loss: 0.247634, Train Acc: 0.915323, Valid Loss: 0.352461, Valid Acc: 0.901389, Time 00:00:08
Epoch 15. Train Loss: 0.093203, Train Acc: 0.971774, Valid Loss: 0.224095, Valid Acc: 0.945139, Time 00:00:08
Epoch 16. Train Loss: 0.193358, Train Acc: 0.947581, Valid Loss: 0.228044, Valid Acc: 0.938889, Time 00:00:08
Epoch 17. Train Loss: 0.093673, Train Acc: 0.963710, Valid Loss: 0.307043, Valid Acc: 0.907639, Time 00:00:08
Epoch 18. Train Loss: 0.134583, Train Acc: 0.951613, Valid Loss: 0.251872, Valid Acc: 0.945139, Time 00:00:08
Epoch 19. Train Loss: 0.169173, Train Acc: 0.943548, Valid Loss: 0.271233, Valid Acc: 0.926389, Time 00:00:08
Epoch 0. Train Loss: 0.580036, Train Acc: 0.705645, Valid Loss: 0.240092, Valid Acc: 0.901389, Time 00:00:07
Epoch 1. Train Loss: 0.386035, Train Acc: 0.846774, Valid Loss: 0.285543, Valid Acc: 0.877778, Time 00:00:08
Epoch 2. Train Loss: 0.175333, Train Acc: 0.927419, Valid Loss: 0.173897, Valid Acc: 0.920139, Time 00:00:08
Epoch 3. Train Loss: 0.192628, Train Acc: 0.919355, Valid Loss: 0.155587, Valid Acc: 0.956250, Time 00:00:08
Epoch 4. Train Loss: 0.303762, Train Acc: 0.870968, Valid Loss: 0.220605, Valid Acc: 0.937500, Time 00:00:08
Epoch 5. Train Loss: 0.172762, Train Acc: 0.931452, Valid Loss: 0.176915, Valid Acc: 0.951389, Time 00:00:08
Epoch 6. Train Loss: 0.232631, Train Acc: 0.903226, Valid Loss: 0.174397, Valid Acc: 0.951389, Time 00:00:08
Epoch 7. Train Loss: 0.227868, Train Acc: 0.919355, Valid Loss: 0.185688, Valid Acc: 0.938889, Time 00:00:08
Epoch 8. Train Loss: 0.145265, Train Acc: 0.947581, Valid Loss: 0.315830, Valid Acc: 0.895139, Time 00:00:08
Epoch 9. Train Loss: 0.209149, Train Acc: 0.927419, Valid Loss: 0.424490, Valid Acc: 0.882639, Time 00:00:08
Epoch 10. Train Loss: 0.147244, Train Acc: 0.951613, Valid Loss: 0.276008, Valid Acc: 0.913889, Time 00:00:08
Epoch 11. Train Loss: 0.178104, Train Acc: 0.923387, Valid Loss: 0.270126, Valid Acc: 0.901389, Time 00:00:08
Epoch 12. Train Loss: 0.173620, Train Acc: 0.919355, Valid Loss: 0.547677, Valid Acc: 0.832639, Time 00:00:08
Epoch 0. Train Loss: 0.651837, Train Acc: 0.697581, Valid Loss: 0.150854, Valid Acc: 0.938889, Time 00:00:07
Epoch 1. Train Loss: 0.293754, Train Acc: 0.854839, Valid Loss: 0.726434, Valid Acc: 0.731250, Time 00:00:08
Epoch 2. Train Loss: 0.200455, Train Acc: 0.899194, Valid Loss: 0.180947, Valid Acc: 0.925000, Time 00:00:08
Epoch 3. Train Loss: 0.201575, Train Acc: 0.923387, Valid Loss: 0.405404, Valid Acc: 0.868750, Time 00:00:08
Epoch 4. Train Loss: 0.370177, Train Acc: 0.875000, Valid Loss: 0.249589, Valid Acc: 0.888889, Time 00:00:08
Epoch 5. Train Loss: 0.158509, Train Acc: 0.931452, Valid Loss: 0.243433, Valid Acc: 0.920139, Time 00:00:08
Epoch 6. Train Loss: 0.309089, Train Acc: 0.866935, Valid Loss: 0.252658, Valid Acc: 0.906250, Time 00:00:08
Epoch 7. Train Loss: 0.126372, Train Acc: 0.927419, Valid Loss: 0.165969, Valid Acc: 0.926389, Time 00:00:08
Epoch 8. Train Loss: 0.220032, Train Acc: 0.903226, Valid Loss: 0.232900, Valid Acc: 0.938889, Time 00:00:08
Epoch 9. Train Loss: 0.348881, Train Acc: 0.854839, Valid Loss: 0.186545, Valid Acc: 0.951389, Time 00:00:08
Epoch 10. Train Loss: 0.126482, Train Acc: 0.959677, Valid Loss: 0.191647, Valid Acc: 0.945139, Time 00:00:08
Epoch 11. Train Loss: 0.117860, Train Acc: 0.947581, Valid Loss: 0.174572, Valid Acc: 0.932639, Time 00:00:08
Epoch 12. Train Loss: 0.083741, Train Acc: 0.971774, Valid Loss: 0.214848, Valid Acc: 0.926389, Time 00:00:08
Epoch 13. Train Loss: 0.107177, Train Acc: 0.971774, Valid Loss: 0.253377, Valid Acc: 0.926389, Time 00:00:08
Epoch 14. Train Loss: 0.130517, Train Acc: 0.943548, Valid Loss: 0.207190, Valid Acc: 0.926389, Time 00:00:08
Epoch 0. Train Loss: 0.499517, Train Acc: 0.709677, Valid Loss: 0.385395, Valid Acc: 0.834028, Time 00:00:07
Epoch 1. Train Loss: 0.308458, Train Acc: 0.854839, Valid Loss: 0.198603, Valid Acc: 0.931250, Time 00:00:08
Epoch 2. Train Loss: 0.286826, Train Acc: 0.870968, Valid Loss: 0.142145, Valid Acc: 0.968750, Time 00:00:08
Epoch 3. Train Loss: 0.208604, Train Acc: 0.915323, Valid Loss: 0.135234, Valid Acc: 0.956250, Time 00:00:08
Epoch 4. Train Loss: 0.320352, Train Acc: 0.883065, Valid Loss: 0.329068, Valid Acc: 0.879167, Time 00:00:08
Epoch 5. Train Loss: 0.295208, Train Acc: 0.862903, Valid Loss: 0.466769, Valid Acc: 0.850000, Time 00:00:08
Epoch 6. Train Loss: 0.192632, Train Acc: 0.923387, Valid Loss: 0.814335, Valid Acc: 0.719444, Time 00:00:08
Epoch 7. Train Loss: 0.186800, Train Acc: 0.931452, Valid Loss: 0.219120, Valid Acc: 0.925000, Time 00:00:08
Epoch 8. Train Loss: 0.293688, Train Acc: 0.895161, Valid Loss: 1.827953, Valid Acc: 0.558333, Time 00:00:08
Epoch 9. Train Loss: 0.231428, Train Acc: 0.891129, Valid Loss: 0.196716, Valid Acc: 0.951389, Time 00:00:08
Epoch 10. Train Loss: 0.200562, Train Acc: 0.919355, Valid Loss: 0.210042, Valid Acc: 0.938889, Time 00:00:08
Epoch 11. Train Loss: 0.109841, Train Acc: 0.951613, Valid Loss: 0.274556, Valid Acc: 0.926389, Time 00:00:08
Epoch 12. Train Loss: 0.193414, Train Acc: 0.923387, Valid Loss: 0.244777, Valid Acc: 0.938889, Time 00:00:08
Epoch 13. Train Loss: 0.165681, Train Acc: 0.923387, Valid Loss: 0.226246, Valid Acc: 0.951389, Time 00:00:08
Epoch 14. Train Loss: 0.163644, Train Acc: 0.931452, Valid Loss: 0.286747, Valid Acc: 0.938889, Time 00:00:08
Epoch 15. Train Loss: 0.180882, Train Acc: 0.923387, Valid Loss: 0.208471, Valid Acc: 0.938889, Time 00:00:08
Epoch 16. Train Loss: 0.118707, Train Acc: 0.963710, Valid Loss: 0.238056, Valid Acc: 0.920139, Time 00:00:08
Epoch 17. Train Loss: 0.065904, Train Acc: 0.963710, Valid Loss: 0.248560, Valid Acc: 0.913889, Time 00:00:08
Epoch 18. Train Loss: 0.251255, Train Acc: 0.915323, Valid Loss: 0.341010, Valid Acc: 0.920139, Time 00:00:08
